thomas_num,thomas_name,icpsr,congress,year,st_name,cd,dem,elected,female,votepct,dwnom1,deleg_size,speaker,subchr,afam,latino,votepct_sq,power,chair,state_leg,state_leg_prof,majority,maj_leader,min_leader,meddist,majdist,all_bills,all_aic,all_abc,all_pass,all_law,les,seniority,benchmark,expectation,TotalInParty,RankInParty
17,"Aspin, Les",13003,93,1973,WI,1,1,1970,0,64,-0.381999999,9,0,0,0,0,4096,0,0,0,0,1,0,0,0.335000008,0.0625,93,0,0,0,0,0.472392559,2,0.510812402,2,248,146
18,"Badillo, Herman",13004,93,1973,NY,21,1,1970,0,87,-0.619000018,39,0,0,0,1,7569,0,0,0,0,1,0,0,0.572000027,0.299500018,42,0,0,0,0,0.212938443,2,0.510812402,1,248,183
19,"Bafalis, L.",14003,93,1973,FL,10,0,1972,0,62,0.293000013,15,0,0,0,0,3844,0,0,1,0.224000007,0,0,0,0.340000004,0.612500012,10,0,0,0,0,0.051684089,1,0.271341175,1,197,172
20,"Baker, LaMar",13005,93,1973,TN,3,0,1970,0,55,0.338999987,8,0,0,0,0,3025,0,0,1,0.149000004,0,0,0,0.385999978,0.658500016,35,2,2,1,1,0.818845809,2,0.298416883,3,197,26
21,"Barrett, William",465,93,1973,PA,1,1,1948,0,66,-0.476999998,25,0,1,0,0,4356,0,0,0,0,1,0,0,0.430000007,0.157499999,28,2,2,2,1,1.654023051,13,1.74694705,2,248,72
22,"Bauman, Robert",14069,93,1973,MD,1,0,1973,0,NA,0.500999987,8,0,0,0,0,NA,0,0,1,0.252000004,0,0,0,0.547999978,0.820500016,12,0,0,0,0,0.062020905,1,0.271341175,1,197,166
23,"Beard, Robin",14004,93,1973,TN,6,0,1972,0,55,0.397000015,8,0,0,0,0,3025,0,0,0,0,0,0,0,0.444000006,0.716500044,10,0,0,0,0,0.04754936,1,0.271341175,1,197,174
24,"Bell, Alphonzo",10505,93,1973,CA,28,0,1960,0,61,0.180999994,43,0,0,0,0,3721,0,0,0,0,0,0,0,0.228,0.500500023,40,1,1,0,0,0.232831672,7,0.433795393,2,197,82
25,"Benitez, Jamie",NA,93,1973,PR,1,1,1972,0,NA,NA,1,0,0,0,1,NA,0,0,0,NA,0,0,0,NA,NA,12,0,0,0,0,0.05788618,1,0.271341175,1,197,168
26,"Bennett, Charles",633,93,1973,FL,3,1,1948,0,82,-0.061000001,15,0,1,0,0,6724,0,0,1,0.224000007,1,0,0,0.014,0.25850001,88,2,2,1,1,0.726484895,13,1.74694705,1,248,122
27,"Bergland, Bob",13007,93,1973,MN,7,1,1970,0,59,-0.358999997,8,0,0,0,0,3481,0,0,0,0,1,0,0,0.312000006,0.039499998,25,0,0,0,0,0.125075489,2,0.510812402,1,248,206
28,"Bevill, Tom",11000,93,1973,AL,4,1,1966,0,70,-0.123999998,7,0,0,0,0,4900,1,0,1,0.085000001,1,0,0,0.077,0.195500001,17,1,1,1,1,0.176333532,4,0.564963818,1,248,194
29,"Biaggi, Mario",12003,93,1973,NY,10,1,1968,0,94,-0.31099999,39,0,0,0,0,8836,0,0,0,0,1,0,0,0.263999999,0.008500011,161,1,1,1,1,0.904045522,3,0.53788811,3,248,106
30,"Biester, Edward",11001,93,1973,PA,8,0,1966,0,64,-0.028999999,25,0,0,0,0,4096,0,0,0,0,0,0,0,0.018000001,0.290500015,22,0,0,0,0,0.114738673,4,0.352568269,1,197,131
31,"Bingham, Jonathan",10705,93,1973,NY,22,1,1964,0,76,-0.537,39,0,0,0,0,5776,0,0,0,0,1,0,0,0.49000001,0.217500001,113,0,0,0,0,0.563356578,5,0.592039526,2,248,139
32,"Blackburn, Ben",11002,93,1973,GA,4,0,1966,0,76,0.405999988,10,0,0,0,0,5776,0,0,0,0,0,0,0,0.452999979,0.725499988,31,2,2,2,2,0.333027124,4,0.352568269,2,197,59
33,"Blatnik, John",789,93,1973,MN,8,1,1947,0,76,-0.40200001,8,0,0,0,0,5776,0,1,1,0.210999995,1,0,0,0.355000019,0.082500011,62,7,7,7,4,5.033718109,14,6.10231638,2,248,17
34,"Boggs, Corinne",14067,93,1973,LA,2,1,1973,1,NA,-0.287,8,0,0,0,0,NA,0,0,0,0,1,0,0,0.239999995,0.032499999,12,1,1,1,1,0.138087317,1,0.483736724,1,248,199
35,"Boland, Edward",830,93,1973,MA,2,1,1952,0,100,-0.312999994,12,0,1,0,0,10000,1,0,1,0.386000007,1,0,0,0.266000003,0.006500007,39,2,2,2,2,2.047472239,11,1.692795634,2,248,56
36,"Bolling, Richard",835,93,1973,MO,5,1,1948,0,63,-0.490999997,10,0,0,0,0,3969,1,0,0,0,1,0,0,0.444000006,0.171499997,0,0,0,0,0,0,13,0.808645189,1,248,248
37,"Bowen, David",14005,93,1973,MS,2,1,1972,0,62,-0.015,5,0,0,0,0,3844,0,0,0,0,1,0,0,0.032000002,0.304500014,25,1,1,1,1,0.588102043,1,0.483736724,2,248,136
38,"Brademas, John",948,93,1973,IN,3,1,1958,0,55,-0.470999986,11,0,1,0,0,3025,0,0,0,0,1,1,0,0.423999995,0.151499987,59,7,8,7,3,5.620785236,8,1.611568451,3,248,14
39,"Brasco, Frank",11004,93,1973,NY,11,1,1966,0,64,-0.439999998,39,0,0,0,0,4096,0,0,0,0,1,0,0,0.393000007,0.120499998,22,2,2,1,1,0.585254312,4,0.564963818,2,248,137
40,"Bray, William",986,93,1973,IN,6,0,1950,0,65,0.333999991,11,0,0,0,0,4225,0,0,0,0,0,0,0,0.380999982,0.653500021,6,0,0,0,0,0.031010453,12,0.569173932,1,197,187
41,"Breaux, John",13056,93,1973,LA,7,1,1972,0,100,-0.086000003,8,0,0,0,0,10000,0,0,0,0,1,0,0,0.039000005,0.233500004,45,1,1,1,1,1.163800001,1,0.483736724,3,248,94
42,"Breckinridge, John",14006,93,1973,KY,6,1,1972,0,52,-0.200000003,7,0,0,0,0,2704,0,0,1,0.078000002,1,0,0,0.152999997,0.119499996,4,1,1,1,1,0.483700216,1,0.483736724,2,248,145
43,"Brinkley, Jack",11005,93,1973,GA,3,1,1966,0,100,-0.013,10,0,0,0,0,10000,0,0,1,0.142000005,1,0,0,0.033999998,0.306499988,42,0,0,0,0,0.217073172,4,0.564963818,1,248,182
44,"Brooks, Jack",1077,93,1973,TX,9,1,1952,0,66,-0.354000002,24,0,1,0,0,4356,0,0,1,0.191,1,0,0,0.307000011,0.034500003,15,5,5,5,1,2.58659482,11,1.692795634,3,248,41
45,"Broomfield, William",1087,93,1973,MI,19,0,1956,0,70,0.202000007,19,0,0,0,0,4900,0,0,1,0.463,0,0,0,0.249000013,0.521499991,43,0,0,0,0,0.209837392,9,0.487946808,1,197,92
46,"Brotzman, Donald",10572,93,1973,CO,2,0,1962,0,66,0.131999999,5,0,0,0,0,4356,1,0,1,0.284000009,0,0,0,0.179000005,0.451499999,65,2,2,1,1,0.797007978,6,0.406719685,3,197,27
47,"Brown, Clarence",10786,93,1973,OH,7,0,1965,0,73,0.282999992,23,0,0,0,0,5329,0,0,0,0,0,0,0,0.329999983,0.602500021,26,2,2,1,1,0.978265464,5,0.379643977,3,197,19
48,"Brown, Garry",11006,93,1973,MI,3,0,1966,0,59,0.25999999,19,0,0,0,0,3481,0,0,1,0.463,0,0,0,0.306999981,0.57950002,19,0,0,0,0,0.089930311,4,0.352568269,1,197,146
49,"Brown, George",10573,93,1973,CA,38,1,1972,0,56,-0.532999992,43,0,0,0,0,3136,0,0,1,0.526000023,1,0,0,0.486000001,0.213499993,50,1,1,1,1,0.338621587,1,0.483736724,2,248,160
50,"Broyhill, James",10574,93,1973,NC,10,0,1962,0,73,0.261000007,11,0,0,0,0,5329,0,0,0,0,0,0,0,0.307999998,0.580500007,35,0,0,0,0,0.186062723,6,0.406719685,1,197,102
51,"Broyhill, Joel",1154,93,1973,VA,10,0,1952,0,56,0.211999997,10,0,0,0,0,3136,1,0,0,0,0,0,0,0.259000003,0.531499982,149,6,6,6,1,2.420689583,11,0.542098224,3,197,3
52,"Buchanan, John",10706,93,1973,AL,6,0,1964,0,60,0.128000006,7,0,0,0,0,3600,0,0,0,0,0,0,0,0.175000012,0.44750002,6,0,0,0,0,0.031010453,5,0.379643977,1,197,186
53,"Burgener, Clair",14007,93,1973,CA,42,0,1972,0,68,0.247999996,43,0,0,0,0,4624,0,0,1,0.526000023,0,0,0,0.294999987,0.567499995,11,1,1,1,1,0.137053624,1,0.271341175,2,197,125
56,"Burke, J.",11007,93,1973,FL,12,0,1966,0,63,0.224000007,15,0,0,0,0,3969,0,0,0,0,0,0,0,0.270999998,0.543500006,62,0,0,0,0,0.320441335,4,0.352568269,2,197,61
55,"Burke, James",1265,93,1973,MA,11,1,1958,0,100,-0.389999986,12,0,0,0,0,10000,1,0,0,0,1,0,0,0.342999995,0.070499986,84,1,1,0,0,0.789164543,8,0.673266649,2,248,115
54,"Burke, Yvonne",14008,93,1973,CA,37,1,1972,1,73,-0.589999974,43,0,0,1,0,5329,0,0,1,0.526000023,1,0,0,0.542999983,0.270499974,19,1,1,0,0,0.127396137,1,0.483736724,1,248,204
57,"Burleson, Omar",1282,93,1973,TX,17,1,1946,0,100,0.180999994,24,0,0,0,0,10000,1,0,0,0,1,0,0,0.228,0.500500023,25,0,0,0,0,0.130243897,14,0.835720897,1,248,203
58,"Burlison, Bill",12004,93,1973,MO,10,1,1968,0,64,-0.372999996,10,0,0,0,0,4096,1,0,0,0,1,0,0,0.326000005,0.053499997,12,2,2,2,2,0.613518059,3,0.53788811,2,248,130
59,"Burton, John",14076,93,1973,CA,6,1,1974,0,NA,-0.538999975,43,0,0,0,0,NA,0,0,1,0.526000023,1,0,0,0.491999984,0.219499975,8,0,0,0,0,0.008269454,1,0.483736724,1,248,246
60,"Burton, Phillip",10577,93,1973,CA,5,1,1964,0,82,-0.657999992,43,0,1,0,0,6724,0,0,1,0.526000023,1,0,0,0.611000001,0.338499993,94,10,10,8,7,2.33256197,5,1.530341387,3,248,47
61,"Butler, M.",13055,93,1973,VA,6,0,1972,0,55,0.272000015,10,0,0,0,0,3025,0,0,1,0.164000005,0,0,0,0.319000006,0.591500044,3,0,0,0,0,0.0113705,1,0.271341175,1,197,195
62,"Byron, Goodloe",13008,93,1973,MD,6,1,1970,0,65,0.02,8,0,0,0,0,4225,0,0,1,0.252000004,1,0,0,0.067000002,0.33950001,24,0,0,0,0,0.124041811,2,0.510812402,1,248,207
63,"Camp, John",12006,93,1973,OK,6,0,1968,0,73,0.432999998,6,0,0,0,0,5329,0,0,1,0.248999998,0,0,0,0.479999989,0.752499998,19,2,2,2,1,0.468477607,3,0.325492561,2,197,46
64,"Carey, Hugh",10508,93,1973,NY,15,1,1960,0,52,-0.39199999,39,0,0,0,0,2704,1,0,0,0,1,0,0,0.344999999,0.07249999,67,1,1,1,1,1.245460868,7,0.646190941,3,248,85
65,"Carney, Charles",12044,93,1973,OH,19,1,1970,0,64,-0.446999997,23,0,1,0,0,4096,0,0,1,0.354999989,1,0,0,0.400000006,0.127499998,58,3,3,3,3,1.782486439,2,1.449114203,2,248,68
66,"Carter, Tim",10710,93,1973,KY,5,0,1964,0,74,0.086999997,7,0,0,0,0,5476,0,0,0,0,0,0,0,0.134000003,0.406500012,42,1,1,1,1,0.305543751,5,0.379643977,2,197,64
67,"Casey, Bob",1577,93,1973,TX,22,1,1958,0,70,-0.052999999,24,0,1,0,0,4900,1,0,1,0.191,1,0,0,0.006,0.266499996,22,2,2,2,2,1.972013354,8,1.611568451,2,248,58
68,"Cederberg, Elford",1610,93,1973,MI,10,0,1952,0,67,0.211999997,19,0,0,0,0,4489,1,0,0,0,0,0,0,0.259000003,0.531499982,18,1,1,1,1,0.177367225,11,0.542098224,1,197,106
69,"Chamberlain, Charles",1620,93,1973,MI,6,0,1956,0,51,0.270999998,19,0,0,0,0,2601,1,0,0,0,0,0,0,0.317999989,0.590499997,17,0,0,0,0,0.087862954,9,0.487946808,1,197,150
70,"Chappell, Bill",12007,93,1973,FL,4,1,1968,0,56,0.002,15,0,0,0,0,3136,1,0,1,0.224000007,1,0,0,0.048999999,0.321500003,47,3,3,3,3,2.083651066,3,0.53788811,3,248,54
71,"Chisholm, Shirley",12008,93,1973,NY,12,1,1968,1,88,-0.643999994,39,0,0,1,0,7744,0,0,1,0.407000005,1,0,0,0.597000003,0.324499995,11,0,0,0,0,0.019639954,3,0.53788811,1,248,241
72,"Clancy, Donald",10510,93,1973,OH,2,0,1960,0,63,0.393999994,23,0,0,0,0,3969,1,0,0,0,0,0,0,0.440999985,0.713500023,31,0,0,0,0,0.160220668,7,0.433795393,1,197,117
73,"Clark, Frank",1763,93,1973,PA,25,1,1954,0,56,-0.301999986,25,0,1,0,0,3136,0,0,0,0,1,0,0,0.254999995,0.017500013,48,1,1,1,1,0.711110175,10,1.665719867,1,248,124
74,"Clausen, Don",10579,93,1973,CA,1,0,1963,0,62,0.157000005,43,0,0,0,0,3844,0,0,0,0,0,0,0,0.204000011,0.476500005,37,0,0,0,0,0.178826943,6,0.406719685,1,197,104
75,"Clawson, Del",10580,93,1973,CA,23,0,1963,0,61,0.522000015,43,0,0,0,0,3721,1,0,0,0,0,0,0,0.569000006,0.841500044,11,1,1,1,1,0.141188353,6,0.406719685,1,197,124
76,"Clay, William",12009,93,1973,MO,1,1,1968,0,64,-0.584999979,10,0,0,1,0,4096,0,0,0,0,1,0,0,0.537999988,0.265499979,6,1,1,1,1,0.489902288,3,0.53788811,2,248,144
77,"Cleveland, James",10581,93,1973,NH,2,0,1962,0,68,0.201000005,2,0,0,0,0,4624,0,0,1,0.061999999,0,0,0,0.248000011,0.520500004,29,1,1,1,1,0.234219715,6,0.406719685,2,197,80
78,"Cochran, Thad",14009,93,1973,MS,4,0,1972,0,48,0.203999996,5,0,0,0,0,2304,0,0,0,0,0,0,0,0.250999987,0.523500025,21,0,0,0,0,0.104401857,1,0.271341175,1,197,139
79,"Cohen, William",14010,93,1973,ME,2,0,1972,0,54,0.068999998,2,0,0,0,0,2916,0,0,0,0,0,0,0,0.115999997,0.388500005,50,0,0,0,0,0.259454131,1,0.271341175,2,197,75
80,"Collier, Harold",1941,93,1973,IL,6,0,1956,0,61,0.36500001,24,0,0,0,0,3721,1,0,0,0,0,0,0,0.412,0.684500039,54,0,0,0,0,0.266689897,9,0.487946808,2,197,72
81,"Collins, Cardiss",14068,93,1973,IL,7,1,1973,1,NA,-0.497000009,24,0,0,1,0,NA,0,0,0,0,1,0,0,0.450000018,0.17750001,11,0,0,0,0,0.056852497,1,0.483736724,1,248,227
82,"Collins, James",11066,93,1973,TX,3,0,1968,0,73,0.657000005,24,0,0,0,0,5329,0,0,0,0,0,0,0,0.703999996,0.976500034,16,0,0,0,0,0.082694538,3,0.325492561,1,197,155
83,"Conable, Barber",10712,93,1973,NY,35,0,1964,0,68,0.323000014,39,0,0,0,0,4624,1,0,1,0.407000005,0,0,0,0.370000005,0.642500043,35,0,0,0,0,0.176759586,5,0.379643977,1,197,107
84,"Conlan, John",14011,93,1973,AZ,4,0,1972,0,53,0.532999992,4,0,0,0,0,2809,0,0,1,0.268999994,0,0,0,0.579999983,0.852500021,5,0,0,0,0,0.025842045,1,0.271341175,1,197,189
85,"Conte, Silvio",2009,93,1973,MA,1,0,1958,0,100,-0.048999999,12,0,0,0,0,10000,1,0,1,0.386000007,0,0,0,0.001999999,0.270500004,78,3,3,3,2,1.456035018,8,0.4608711,3,197,9
86,"Conyers, John",10713,93,1973,MI,1,1,1964,0,88,-0.762000024,19,0,1,1,0,7744,0,0,0,0,1,0,0,0.715000033,0.442500025,28,1,1,1,0,0.730037272,5,1.530341387,1,248,121
87,"Corman, James",10511,93,1973,CA,22,1,1960,0,68,-0.536000013,43,0,1,0,0,4624,1,0,0,0,1,0,0,0.489000022,0.216500014,63,1,1,1,1,1.232023001,7,1.584492803,2,248,89
88,"Cotter, William",13009,93,1973,CT,1,1,1970,0,57,-0.298999995,6,0,0,0,0,3249,0,0,0,0,1,0,0,0.252000004,0.020500004,10,0,0,0,0,0.043414634,2,0.510812402,1,248,234
89,"Coughlin, Lawrence",12010,93,1973,PA,13,0,1968,0,67,0.163000003,25,0,0,0,0,4489,1,0,1,0.344999999,0,0,0,0.210000008,0.482500017,23,0,0,0,0,0.106469221,3,0.325492561,1,197,134
90,"Crane, Philip",12041,93,1973,IL,12,0,1969,0,74,0.739000022,24,0,0,0,0,5476,0,0,0,0,0,0,0,0.786000013,1.058500051,33,0,0,0,0,0.166422769,3,0.325492561,2,197,110
91,"Cronin, Paul",14012,93,1973,MA,5,0,1972,0,45,-0.015,12,0,0,0,0,2025,0,0,0,0,0,0,0,0.032000002,0.304500014,59,2,2,2,2,0.844029129,1,0.271341175,3,197,25
92,"Culver, John",10715,93,1973,IA,2,1,1964,0,59,-0.305999994,6,0,1,0,0,3481,0,0,0,0,1,0,0,0.259000003,0.013500006,29,2,2,2,0,1.021147728,5,1.530341387,2,248,100
93,"Daniel, Robert",14013,93,1973,VA,4,0,1972,0,47,0.27700001,10,0,0,0,0,2209,0,0,0,0,0,0,0,0.324000001,0.596500039,6,0,0,0,0,0.022740999,1,0.271341175,1,197,190
94,"Daniel, W.",12011,93,1973,VA,5,1,1968,0,100,0.196999997,10,0,0,0,0,10000,0,0,1,0.164000005,1,0,0,0.244000003,0.516499996,9,0,0,0,0,0.038246226,3,0.53788811,1,248,238
95,"Daniels, Dominick",2329,93,1973,NJ,14,1,1958,0,61,-0.372999996,15,0,1,0,0,3721,0,0,0,0,1,0,0,0.326000005,0.053499997,59,6,6,3,2,3.435356379,8,1.611568451,3,248,31
96,"Danielson, George",13010,93,1973,CA,29,1,1970,0,63,-0.416999996,43,0,0,0,0,3969,0,0,1,0.526000023,1,0,0,0.370000005,0.097499996,55,7,7,7,6,1.605674386,2,0.510812402,3,248,73
98,"Davis, Glenn",2383,93,1973,WI,9,0,1946,0,61,0.5,9,0,0,0,0,3721,1,0,1,0.248999998,0,0,0,0.546999991,0.819500029,12,1,1,1,1,0.146356761,14,0.623325288,1,197,122
97,"Davis, John",10512,93,1973,GA,7,1,1960,0,58,-0.116999999,10,0,1,0,0,3364,0,0,0,0,1,0,0,0.07,0.202500001,51,0,0,0,0,0.234645754,7,1.584492803,1,248,178
99,"Davis, Mendel",13048,93,1973,SC,1,1,1971,0,54,-0.163000003,6,0,0,0,0,2916,0,0,0,0,1,0,0,0.116000004,0.156499997,12,0,0,0,0,0.062020905,2,0.510812402,1,248,224
100,"Delaney, James",2476,93,1973,NY,9,1,1948,0,93,-0.280000001,39,0,0,0,0,8649,1,0,0,0,1,0,0,0.232999995,0.039499998,20,0,0,0,0,0.099233449,13,0.808645189,1,248,211
101,"Dellenback, John",11011,93,1973,OR,4,0,1966,0,63,0.245000005,4,0,0,0,0,3969,0,0,1,0.232999995,0,0,0,0.291999996,0.564500034,36,0,1,1,0,0.208473176,4,0.352568269,2,197,93
102,"Dellums, Ronald",13011,93,1973,CA,7,1,1970,0,56,-0.690999985,43,0,1,1,0,3136,0,0,0,0,1,0,0,0.643999994,0.371499985,118,2,2,0,0,0.818128228,2,1.449114203,2,248,113
103,"Denholm, Frank",13012,93,1973,SD,1,1,1970,0,61,-0.381000012,6,0,0,0,0,3721,0,0,0,0,1,0,0,0.334000021,0.061500013,38,4,4,4,1,1.450345397,2,0.510812402,3,248,78
104,"Dennis, David",12012,93,1973,IN,10,0,1968,0,57,0.508000016,11,0,0,0,0,3249,0,0,1,0.143000007,0,0,0,0.555000007,0.827500045,11,0,0,0,0,0.056852497,3,0.325492561,1,197,170
105,"Dent, John",2513,93,1973,PA,21,1,1958,0,62,-0.335999995,25,0,1,0,0,3844,0,0,1,0.344999999,1,0,0,0.289000005,0.016499996,57,4,4,3,1,2.791796207,8,1.611568451,3,248,37
106,"Derwinski, Edward",2525,93,1973,IL,4,0,1958,0,71,0.280999988,24,0,0,0,0,5041,0,0,1,0.344000012,0,0,0,0.327999979,0.600499988,19,0,0,0,0,0.089930311,8,0.4608711,1,197,145
107,"Devine, Samuel",2533,93,1973,OH,12,0,1958,0,56,0.493000001,23,0,0,0,0,3136,0,0,1,0.354999989,0,0,1,0.540000021,0.8125,20,0,0,0,0,0.099233449,8,0.4608711,1,197,140
108,"Dickinson, William",10717,93,1973,AL,2,0,1964,0,55,0.38499999,7,0,0,0,0,3025,0,0,0,0,0,0,0,0.431999981,0.70450002,33,2,2,2,1,0.91642499,5,0.379643977,3,197,20
109,"Diggs, Charles",2594,93,1973,MI,13,1,1954,0,86,-0.522000015,19,0,1,1,0,7396,0,1,1,0.463,1,0,0,0.475000024,0.202500015,57,12,12,11,9,5.520431519,10,6.93231535,2,248,16
110,"Dingell, John",2605,93,1973,MI,16,1,1955,0,68,-0.446999997,19,0,1,0,0,4624,0,0,0,0,1,0,0,0.400000006,0.127499998,126,3,3,2,0,1.899208903,10,1.665719867,2,248,62
111,"Donohue, Harold",2660,93,1973,MA,3,1,1946,0,100,-0.356999993,12,0,1,0,0,10000,0,0,0,0,1,0,0,0.310000002,0.037499994,23,3,3,3,2,1.420372844,14,1.774022698,2,248,79
112,"Dorn, William",2672,93,1973,SC,3,1,1950,0,75,0.024,6,0,0,0,0,5625,0,1,1,0.280999988,1,0,0,0.071000002,0.343499988,97,4,4,4,2,2.935662746,12,6.048164845,1,248,35
113,"Downing, Thomas",2706,93,1973,VA,1,1,1958,0,78,0.021,10,0,1,0,0,6084,0,0,0,0,1,0,0,0.067999996,0.340499997,58,3,4,4,2,1.938508511,8,1.611568451,2,248,59
114,"Drinan, Robert",13013,93,1973,MA,4,1,1970,0,49,-0.474999994,12,0,0,0,0,2401,0,0,0,0,1,0,0,0.428000003,0.155499995,27,1,1,1,0,0.176888749,2,0.510812402,1,248,193
115,"Dulski, Thaddeus",2752,93,1973,NY,37,1,1958,0,72,-0.193000004,39,0,1,0,0,5184,0,1,0,0,1,0,0,0.145999998,0.126499996,76,6,7,7,5,3.853629827,8,6.878163815,2,248,25
116,"Duncan, John",10719,93,1973,TN,2,0,1964,0,100,0.207000002,8,0,0,0,0,10000,1,0,0,0,0,0,0,0.254000008,0.526499987,57,0,0,0,0,0.257386774,5,0.379643977,2,197,77
117,"Eckhardt, Bob",11013,93,1973,TX,8,1,1966,0,64,-0.549000025,24,0,0,0,0,4096,0,0,1,0.191,1,0,0,0.502000034,0.229500026,20,1,1,1,1,1.023219228,4,0.564963818,3,248,99
118,"Edwards, Don",10583,93,1973,CA,9,1,1962,0,72,-0.643000007,43,0,1,0,0,5184,0,0,0,0,1,0,0,0.596000016,0.323500007,29,0,0,0,0,0.133344948,6,1.557417035,1,248,202
119,"Edwards, Jack",10721,93,1973,AL,1,0,1964,0,77,0.194999993,7,0,0,0,0,5929,1,0,0,0,0,0,1,0.241999999,0.514500022,50,0,0,0,0,0.241881534,5,0.379643977,2,197,79
120,"Eilberg, Joshua",11014,93,1973,PA,4,1,1966,0,56,-0.425000012,25,0,1,0,0,3136,0,0,1,0.344999999,1,0,0,0.378000021,0.105500013,64,0,0,0,0,0.314239264,4,1.503265619,1,248,162
121,"Erlenborn, John",10722,93,1973,IL,14,0,1964,0,73,0.279000014,24,0,0,0,0,5329,0,0,1,0.344000012,0,0,0,0.326000005,0.598500013,44,1,1,0,0,0.612404943,5,0.379643977,3,197,37
122,"Esch, Marvin",11015,93,1973,MI,2,0,1966,0,56,0.112999998,19,0,0,0,0,3136,0,0,1,0.463,0,0,0,0.159999996,0.432500005,74,0,0,0,0,0.397967488,4,0.352568269,2,197,52
123,"Eshleman, Edwin",11016,93,1973,PA,16,0,1966,0,73,0.254999995,25,0,0,0,0,5329,0,0,1,0.344999999,0,0,0,0.301999986,0.574500024,8,0,0,0,0,0.041347269,4,0.352568269,1,197,179
124,"Evans, Frank",10723,93,1973,CO,3,1,1964,0,66,-0.314999998,5,0,0,0,0,4356,1,0,1,0.284000009,1,0,0,0.268000007,0.004500003,22,2,2,1,1,0.235506669,5,0.592039526,1,248,177
125,"Evins, Joe",3034,93,1973,TN,4,1,1946,0,81,-0.289999992,8,0,1,0,0,6561,1,0,0,0,1,0,0,0.242999986,0.029500008,13,2,2,2,2,1.929632425,14,1.774022698,2,248,60
